EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
00626800;a;Eud~ap;0.078125;0.00390625;50.0;0.10597283;0.12752630;0.07039827;0.08422440;0.03831081;0.25505942
02542325;a;mutamar~iD;0.0;0.75;50.0;0.07138937;0.07210944;0.03593051;0.09479430;0.16905054;0.32228386
00150505;a;minoTiyq;0.375;0.125;100;0.03847745;0.08372657;0.06354879;0.12131550;0.06700000;0.20971950
00559690;a;muzodaHim;0.0625;0.0625;50.0;0.18518656;0.07701143;0.10624656;0.15099338;0.14850079;0.10173937
03149478;a;sayol;0.0625;0.03125;50.0;0.00237817;0.00658949;0.01068608;0.30137637;0.23029756;0.06780169
01348835;a;Samiymiy~;0.32373046875;0.00830078125;50.0;0.07314040;0.14456872;0.05180651;0.12760664;0.07671083;0.19634038
00011160;a;ja$iE;0.09375;0.0625;100.0;0.17876091;0.09535213;0.02725383;0.12734999;0.11345197;0.20248751
01660444;a;mutaSAriE;0;0;100;0.17663668;0.12176418;0.14524271;0.11835197;0.08086896;0.11232636
00163948;a;ma>orab;0.25;0.125;50;0.07832689;0.05978143;0.08000424;0.28848895;0.06817056;0.15308260
01505991;a;maSohuwr;0.0;0.46875;50.0;0.10671973;0.13012799;0.08240468;0.14175891;0.22416344;0.12810494
00122844;a;tabaEiy~;0.15625;0.1875;100.0;0.19068262;0.20048456;0.13360014;0.13398521;0.07138774;0.02704251
02918844;a;nuqAEiy~;0.09375;0.0;100.0;0.00000000;0.00534298;0.14060867;0.05282995;0.05575206;0.20927112
02037152;a;nagom;0.50732421875;0.00244140625;33.0;0.07969507;0.13573392;0.11150267;0.12485764;0.11535157;0.21692372
00797113;a;$ariyb;0.75;0;50;0.07009291;0.00338906;0.26751571;0.13624372;0.14808250;0.32055818
01453467;a;<iSomAm;0.125;0;50;0.02382769;0.05310094;0.17379512;0.12484267;0.20139175;0.10735374
01115920;a;ma$ohuwd;0.25;0.125;33.0;0.06521779;0.01873386;0.08312407;0.22717037;0.13739526;0.10328237
00735088;a;EAfiy;0;0.125;50;0.09864874;0.01296141;0.19149077;0.06444029;0.00733913;0.30176924
00167829;a;<iHorAz;0.5625;0.0;33.0;0.08613428;0.19017378;0.03984405;0.16176941;0.08927578;0.14181589
01285376;a;faxom;0.78125;0.09375;50.0;0.04091480;0.06961754;0.04121454;0.21609544;0.13711375;0.23324119
00596511;a;musotaqiym;0.028440237045288086;0.19277846813201904;33.0;0.05424940;0.10001431;0.16870945;0.18782990;0.11401454;0.10448365
01891109;a;mutaraf~iE;0.3125;0.125;50.0;0.15496361;0.08392800;0.03957804;0.24611422;0.05653181;0.22912448
02368787;a;HAdiq;0.0625;0.544921875;50.0;0.07119194;0.09541568;0.10475258;0.09654551;0.08368932;0.21728788
00580805;a;qAriE;0.25;0.0625;33.0;0.08642989;0.09856540;0.10381538;0.16242826;0.12025175;0.17693003
02953235;a;>uSuwliy~;0;0.375;100;0.09464443;0.33354320;0.21544746;0.08792047;0.05897724;0.07703792
02292573;a;munofajir;0.03125;0.484375;50.0;0.08192787;0.22109708;0.09226631;0.08979930;0.17597287;0.07355358
02052333;a;>uwrobAn;0.0;0.0;50.0;0.09716769;0.11748347;0.10715247;0.12529018;0.10594765;0.15164801
02691237;a;fawoDawiy~;0.0;0.359375;50.0;0.11507692;0.11137215;0.13204898;0.06095454;0.14610686;0.25660371
00852754;a;qAnuwniy~;0.00390625;0.015625;41.5;0.18193742;0.12169605;0.10609468;0.15773422;0.08291646;0.16880123
00715140;a;diymuqrATiy~;0.1875;0.0625;100.0;0.09507418;0.13121829;0.10944305;0.10982416;0.10207044;0.15110218
01511152;a;sAHiq;0.125;0.5;50.0;0.04729794;0.06830250;0.10681904;0.12906104;0.20315696;0.16026509
00861216;a;faroDiy~;0.25;0.125;100;0.13869351;0.08122114;0.19617506;0.20883394;0.08209238;0.13474619
01846049;a;taqAdum;0;0;33;0.13775392;0.01694374;0.31818695;0.11250184;0.18017869;0.03848801
01676517;a;naEarap;0.75;0;33;0.05136287;0.10354104;0.11198306;0.15998067;0.07500975;0.28174621
00250739;a;xab~AS;0.125;0.75;50.0;0.14441348;0.09825981;0.14544277;0.07754522;0.14273719;0.12199257
01082714;a;masoluwb;0.03125;0.4375;50.0;0.25610333;0.07523244;0.13011196;0.07153727;0.10766310;0.12251105
01723091;a;may~Al;0.0;0.0;33.0;0.06822889;0.12080442;0.14564700;0.12226724;0.20223133;0.11799047
01806106;a;laqis;0.0;0.5625;100.0;0.23578323;0.14436429;0.02201831;0.06857141;0.07967791;0.14369582
03127030;a;tuwnisiy~;0.0;0.0;100.0;0.13777659;0.19698920;0.10307942;0.17630508;0.05912559;0.16734983
02323358;a;muHokam;0.125;0.0;50.0;0.16043046;0.06287609;0.07940571;0.15420405;0.08215952;0.14657447
01307690;a;dirAyap;0.328125;0.0;50.0;0.09658190;0.15557950;0.04890732;0.06938842;0.12887813;0.19725961
01764351;a;sAd~;0;0;100;0.14841560;0.00334390;0.05405671;0.08155454;0.44855285;0.21681043
01151740;a;mukotaniz;0.0888671875;0.18951416015625;50.0;0.11484034;0.09815206;0.13093786;0.14410094;0.10477374;0.11418992
00874226;a;wari$;0.375;0;100;0.03077167;0.07356287;0.11025112;0.13679237;0.03947080;0.31237019
01244106;a;Hafiy~;0;0.125;50;0.08879831;0.03564669;0.00950249;0.24003256;0.02425163;0.22059859
00192332;a;magomiy~;0.0;0.4375;50.0;0.18221387;0.16195345;0.12450878;0.04186865;0.28529516;0.05948707
00438909;a;mukay~as;0.5;0;100;0.08844156;0.07300908;0.10930639;0.09133276;0.16550189;0.13225871
00957743;a;mudAwarap;0.1875;0.5625;33.0;0.12089081;0.13789673;0.02981746;0.15321079;0.21631599;0.14891366
01270004;a;ZAmi};0.09375;0.15625;100.0;0.24612066;0.03200549;0.14050295;0.12688197;0.06043689;0.29113148
01174048;a;naHamAn;0;0;33;0.07292729;0.00000000;0.00000000;0.18515725;0.00000000;0.54735282
02962961;a;litwAniy~;0;0;100;0.23998725;0.01828630;0.16721104;0.15503992;0.25748755;0.11641464
00294579;a;mutarAxiy;0.125;0.03125;50.0;0.07504470;0.11471831;0.05369200;0.15794944;0.03924699;0.22992798
00265314;a;katokuwt;0;0.5;100;0.05013422;0.07993439;0.08816125;0.16751684;0.07546059;0.24790148
00044353;a;musotaTAE;0.34375;0.0625;50.0;0.11208491;0.12224199;0.17831171;0.10941058;0.11628941;0.12123845
03104740;a;qaroTAjiy~;0;0;100;0.18742052;0.16435525;0.09395429;0.15039244;0.15070819;0.18222065
02858231;a;falosafiy~;0.0;0.25;100.0;0.07881150;0.22854867;0.03669058;0.13590687;0.03487445;0.17286573
02030793;a;muyAmin;0;0;50;0.05207418;0.08449732;0.04652634;0.10884255;0.18660222;0.04912640
01300661;a;DaboTiy~;0.0;0.0;100.0;0.24426227;0.12077583;0.13010116;0.07490470;0.09931293;0.05993821
02294263;a;>asiyl;0.1904296875;0.1376953125;100.0;0.06228517;0.11842555;0.11733167;0.13722129;0.13027787;0.15684917
01018264;a;masobuwh;0.3125;0.5625;100.0;0.00082656;0.00738905;0.30485534;0.06500948;0.36849078;0.17350419
02089514;a;xafiy~;0.25;0;67;0.11393484;0.11682212;0.13775923;0.09241125;0.09536511;0.12002657
01155206;a;muxomal;0.0625;0.0625;100.0;0.01868659;0.03602974;0.00000000;0.22069236;0.00000000;0.27834935
01732601;a;muqobil;0;0;67;0.05736058;0.11462963;0.15128680;0.14235970;0.12388114;0.13161620
01473083;a;qASir;0.0014723129272460939;0.204627197265625;50.0;0.09685931;0.10317315;0.15725684;0.13375989;0.17420689;0.11070856
00381097;a;karaz;0;0;100;0.06024776;0.10976092;0.06940384;0.07499545;0.08178752;0.24639328
03002190;a;<iTAriy~;0;0;50;0.02920204;0.01025580;0.03182158;0.15665211;0.05138537;0.00735506
00993885;a;qat~Al;0;0;100;0.11960252;0.07653489;0.32685699;0.07392952;0.18957178;0.04991495
01681028;a;mutanAsiq;0.125;0.125;67;0.09561464;0.06172952;0.10073267;0.06712283;0.09738445;0.02025567
01246579;a;widAdiy~;0.3125;0.109375;50.0;0.10422306;0.14228839;0.07095890;0.16591404;0.06696144;0.18510286
00263994;a;laEob;0.0625;0.4375;33.0;0.09062383;0.08052822;0.14258848;0.18356686;0.13807375;0.14454598
02932561;a;bankriyAsiy~;0;0;100;0.00000000;0.05278139;0.00000000;0.22960169;0.00000000;0.62799182
02099774;a;musin~;0.34375;0.0;33.0;0.13076279;0.11048424;0.10361732;0.10760496;0.15629066;0.11089420
02326695;a;laHuwH;0.078125;0.26171875;50.0;0.12730854;0.11740831;0.08345604;0.10611346;0.06415053;0.31520932
00510348;a;qAdir;0.125;0;100;0.11087053;0.12240767;0.13733754;0.11744783;0.10291775;0.14273459
