EWN_OFFSET;POS;SAMA_Lemma;Pos_Sentiment_score;Neg_Sentiment_Score;Confidence;ANGER;DISGUST;FEAR;JOY;SADNESS;SURPRISE
00366266;r;$axoSiy~;0.0;0.0;50.0;0.16362052;0.16629565;0.05267841;0.10934555;0.10667636;0.13861242
00505226;r;maloDuwm;0.1875;0.0;50.0;0.11585791;0.08435102;0.12473346;0.28147880;0.09321877;0.09766025
00354033;r;Hazon;0.0;0.25;100.0;0.06642044;0.07386178;0.33547255;0.08202274;0.23533967;0.05843601
00007015;r;naHow;0.5;0.25;50;0.09770195;0.08686564;0.13222633;0.13386489;0.19950690;0.14168814
00071456;r;mukabotal;0;0;100;0.09870396;0.08314504;0.12545618;0.15716863;0.18368362;0.12398502
00204125;r;galoTAn;0.25;0;50;0.22607782;0.16405471;0.02257888;0.03799295;0.12498066;0.10737146
00058359;r;talomiyH;0;0.75;50;0.29435430;0.12014116;0.11733500;0.07317448;0.07751648;0.09721753
00471757;r;xulosap;0.4375;0.0;50.0;0.00000000;0.19688207;0.00000000;0.07868169;0.00000000;0.55190624
00112601;r;niyuw;0;0;100;0.09155757;0.06227431;0.10091039;0.21321677;0.09951923;0.12643324
00071456;r;TawAf;0;0;50;0.09870396;0.08314504;0.12545618;0.15716863;0.18368362;0.12398502
00007884;r;niSof;0;0;100;0.02669047;0.10269196;0.09071727;0.12089044;0.12466494;0.16147306
00144722;r;muta>ak~id;0.25;0;50;0.08087587;0.18325896;0.08582597;0.11934332;0.09984059;0.16149141
00507323;r;Eamod;0.375;0.0;50.0;0.15503347;0.15169783;0.13566779;0.07868529;0.12284007;0.09319863
00148139;r;musotasohal;0.15625;0.0;50.0;0.07655011;0.04876193;0.06352649;0.42079514;0.08560427;0.07904213
00112601;r;raTob;0;0;50;0.09155757;0.06227431;0.10091039;0.21321677;0.09951923;0.12643324
00022131;r;fiymA;0;0.125;33;0.11024408;0.12262611;0.08950157;0.14279707;0.10122926;0.16708996
00145713;r;maqonaE;0.125;0;50;0.11261260;0.11800689;0.10968548;0.10951274;0.10708255;0.18206516
00148139;r;nAEim;0.125;0;50;0.07218118;0.02642762;0.00000000;0.63252517;0.05485195;0.00592862
00275694;r;qudum;0.125;0.0;100.0;0.07686994;0.10063795;0.09153931;0.16812599;0.12155728;0.14254661
00109021;r;hunA;0.0;0.0;100.0;0.10274013;0.12678219;0.07459191;0.14780702;0.10125947;0.15406035
00478821;r;xilAl;0.015625;0.0;40.0;0.09938329;0.13656683;0.08562535;0.13686711;0.16052427;0.13408830
00134203;r;maEonawiy~;0.34375;0.0;50.0;0.07438291;0.08992488;0.04001862;0.13574216;0.16623314;0.25102940
00503102;r;lAsiE;0;0;33;0.07552983;0.06484176;0.06132693;0.06978861;0.23338838;0.11432451
00278078;r;HAfiy;0;0;50;0.03709973;0.05891760;0.00000000;0.13910949;0.01841335;0.24864328
00334790;r;sab~Aq;0;0;50;0.11880449;0.14142575;0.01368463;0.06275692;0.06507610;0.16849792
00065575;r;muTaw~al;0.375;0;50;0.04846257;0.46383122;0.00572686;0.05692621;0.00485025;0.14898008
00071456;r;mudaEobal;0;0;50;0.09870396;0.08314504;0.12545618;0.15716863;0.18368362;0.12398502
00503102;r;lA*iE;0;0;33;0.07552983;0.06484176;0.06132693;0.06978861;0.23338838;0.11432451
00001837;r;miylAdiy~;0;0;50;0.10474187;0.18393817;0.06317422;0.10622094;0.07471962;0.09674333
00058128;r;qASid;0.125;0.0;50.0;0.12849131;0.12734736;0.09418019;0.12586667;0.09011461;0.14886846
00285687;r;qariyH;0.1875;0.0;50.0;0.16713254;0.31029180;0.10802162;0.18001343;0.02479611;0.06861391
00137562;r;gib~;0.125;0.0;68.75;0.10025975;0.06520175;0.26847090;0.11196751;0.13586485;0.14775834
00509432;r;musotaqiym;0.25;0.0;33.0;0.12805450;0.13181777;0.11261746;0.12701673;0.09745846;0.13141325
00335809;r;mudogil;0.25;0;50;0.15081939;0.02239370;0.42212338;0.03012951;0.12842968;0.03080256
00148139;r;ha$A$;0.125;0;50;0.07218118;0.02642762;0.00000000;0.63252517;0.05485195;0.00592862
00048739;r;mubA$arap;0.046875;0.07421875;50.0;0.17706284;0.13122879;0.14718457;0.09885459;0.13863709;0.10178991
00118531;r;sawA';0;0.375;33;0.13324728;0.16785238;0.08557414;0.12890516;0.06019120;0.16510806
00231765;r;taTaw~uE;0.375;0;100;0.13032078;0.16013781;0.19238633;0.07842865;0.11082491;0.09615667
00009966;r;rajA';0.125;0;50;0.10890539;0.14485406;0.10457840;0.08174777;0.12343774;0.13549711
00061528;r;may~it;0.25;0.0;50.0;0.13532347;0.08650153;0.07555339;0.09896244;0.19798726;0.11806897
00503102;r;bAtir;0;0;50;0.07552983;0.06484176;0.06132693;0.06978861;0.23338838;0.11432451
00503102;r;*arib;0;0;50;0.07552983;0.06484176;0.06132693;0.06978861;0.23338838;0.11432451
00122427;r;diymuqrATiy~;0;0;100;0.01293160;0.05683051;0.30718902;0.14763375;0.13102513;0.01954369
00038625;r;taqAdum;0.125;0.25;33;0.08437736;0.13828686;0.09105976;0.13029298;0.07208651;0.21296919
00007884;r;niSofiy~;0;0;50;0.02669047;0.10269196;0.09071727;0.12089044;0.12466494;0.16147306
00342624;r;qahor;0.25;0;50;0.40513868;0.15867002;0.07545475;0.06108412;0.08909788;0.03102606
00340006;r;tajaw~uz;0;0;100;0.03657990;0.09616914;0.02345331;0.12232661;0.08523451;0.25070065
00061677;r;<i*A;0.0;0.0;100.0;0.12487136;0.11333131;0.06737779;0.09776723;0.17952999;0.14711209
00069603;r;mutakAfi};0.25;0.0;50.0;0.09029312;0.15237678;0.12104139;0.14718734;0.06286738;0.15209035
00323786;r;ma$oriq;0;0;50;0.13588417;0.10363622;0.32597373;0.08523461;0.14832284;0.02287522
00050817;r;munodamij;0.5;0;50;0.10101334;0.13791752;0.05451778;0.11837534;0.07049186;0.24613023
00050817;r;mukotaniz;0.5;0;50;0.10101334;0.13791752;0.05451778;0.11837534;0.07049186;0.24613023
00104990;r;rasol;0.25;0.125;50;0.15643271;0.05420560;0.01646023;0.21174426;0.02155438;0.07833970
00292349;r;mutatAbiE;0.125;0;50;0.00000000;0.16346910;0.00000000;0.51357678;0.21657484;0.00000000
00194578;r;laz~;0.0625;0.0;50.0;0.04440506;0.10912827;0.11836763;0.21350867;0.09060806;0.19114186
00477814;r;>aEo$am;0;0;50;0.05712171;0.54159033;0.01377058;0.10351876;0.10619559;0.05892365
00495377;r;HayovumA;0;0;100;0.09564654;0.15277763;0.08909948;0.11320290;0.12192255;0.19883785
00021878;r;Hiyn;0.0;0.0;50.0;0.07291552;0.12670628;0.10416873;0.09796177;0.10020450;0.19929073
00059171;r;>uqosuwmap;0.25;0;50;0.08974269;0.11697973;0.08382901;0.13278970;0.11300221;0.20216129
00184284;r;Samiym;0;0;50;0.02528925;0.05439124;0.22550852;0.14425262;0.02027273;0.07856367
00046299;r;muruwr;0;0.125;33;0.07159158;0.07833520;0.07990998;0.14537524;0.06952256;0.12485367
00477814;r;rahif;0;0;100;0.05712171;0.54159033;0.01377058;0.10351876;0.10619559;0.05892365
00341227;r;saTiyH;0.25;0.0;33.0;0.12143979;0.13666809;0.18607885;0.07908329;0.10604387;0.10512667
00038625;r;daraj;0.125;0.25;50;0.08437736;0.13828686;0.09105976;0.13029298;0.07208651;0.21296919
00507819;r;>amos;0.0;0.0;100.0;0.13473925;0.11480971;0.09671763;0.13519028;0.16345212;0.11188689
00053394;r;mujAhir;0.125;0;50;0.16137409;0.11477880;0.05907345;0.11727559;0.12204467;0.14600109
00505226;r;mudomak;0.21875;0.0;50.0;0.11543100;0.12753522;0.10259848;0.14885387;0.10533075;0.15142742
00353916;r;>axo$an;0.0;0.25;50.0;0.06642044;0.07386178;0.33547255;0.08202274;0.23533967;0.05843601
00180420;r;EAqib;0;0;100;0.04525658;0.00458491;0.11722187;0.44526871;0.00259611;0.20765471
00038625;r;tatab~uE;0.125;0.25;50;0.08437736;0.13828686;0.09105976;0.13029298;0.07208651;0.21296919
00335809;r;bahoraj;0.25;0;50;0.15081939;0.02239370;0.42212338;0.03012951;0.12842968;0.03080256
00003483;r;>asAs;0.125;0.0;50.0;0.10691749;0.12221050;0.11347361;0.12476521;0.12770284;0.12591655
00148139;r;xaniv;0.125;0;50;0.07218118;0.02642762;0.00000000;0.63252517;0.05485195;0.00592862
00302120;r;$ayoTAniy~;0.125;0;33;0.00000000;0.00000000;0.00000000;0.70009678;0.00000000;0.12632184
00057388;r;Tay~ib;0.1875;0.0;50.0;0.08595121;0.09167722;0.06603776;0.16306542;0.10503691;0.13677346
00024509;r;>ay~;0;0;100;0.13271717;0.16789861;0.12033402;0.09989456;0.09222337;0.10034555
00027384;r;bayod;0.203125;0.0625;50.0;0.15328576;0.15226768;0.11203371;0.11483542;0.12051654;0.10535350
00121135;r;kayot;0.0;0.0;67.0;0.18449952;0.11412444;0.07581170;0.14313777;0.09589170;0.11537027
00022829;r;jid~;0.181640625;0.033203125;50.0;0.08773822;0.11241929;0.09299209;0.14188750;0.10777833;0.19697357
00432314;r;dafi};0.25;0;100;0.03299575;0.17984928;0.07237011;0.23015844;0.11470371;0.11283335
00505352;r;fiTorap;0.0625;0.0;50.0;0.04241233;0.07742689;0.06626245;0.23414733;0.02607353;0.41656660
00452810;r;>alaf~;0.03125;0.125;50.0;0.19454530;0.13562043;0.04238842;0.09995626;0.11308184;0.09767152
00025144;r;muDar~aj;0;0.25;100;0.12115573;0.10571777;0.12634192;0.16775420;0.06452723;0.19714736
00100267;r;magofuwr;0.015625;0.03125;50.0;0.10885940;0.12918353;0.13238829;0.12256397;0.11506572;0.11444483
00110815;r;jAniHap;0.03125;0.03125;33.0;0.10087962;0.09420682;0.23323779;0.09334168;0.18405402;0.11503912
00502710;r;xuSuwS;0.0;0.0;50.0;0.08004775;0.10839731;0.14172329;0.13515751;0.11710175;0.15700528
00105603;r;Eajiyl;0;0;100;0.10389989;0.09224776;0.09616283;0.20306464;0.06105890;0.27786903
00262552;r;Hub~iy~;0.25;0;100;0.17354052;0.08213499;0.00000000;0.06775304;0.24829572;0.01306045
00044861;r;Eakosiy~;0;0.125;50;0.01164785;0.32986915;0.00366975;0.07736138;0.07209277;0.14076926
00409709;r;wa$iyk;0.0;0.0;50.0;0.09776648;0.06633179;0.13458983;0.32664659;0.08963733;0.11475870
00191889;r;tiloqA}iy~;0.265625;0.0;50.0;0.12376698;0.12405222;0.11383544;0.12809866;0.10176494;0.12686078
00035718;r;maliyH;0.125;0.25;33;0.07822983;0.06983626;0.16837381;0.12633825;0.12477511;0.12125402
00285854;r;xAliS;0.1875;0.0;50.0;0.16713254;0.31029180;0.10802162;0.18001343;0.02479611;0.06861391
00340006;r;majAz;0;0;100;0.03657990;0.09616914;0.02345331;0.12232661;0.08523451;0.25070065
00088655;r;murotajal;0.25;0;50;0.03899875;0.03276941;0.14031118;0.16146837;0.03278559;0.22693637
00207668;r;Hidap;0;0;50;0.17384226;0.23452703;0.06516675;0.13251131;0.15712814;0.05646625
00393149;r;wATiy;0;0;50;0.00000000;0.00895255;0.26540794;0.18652967;0.17174341;0.16638656
00008997;r;<iTolAq;0.5;0.0;50.0;0.11474359;0.08512749;0.11912645;0.10852037;0.15739260;0.12192554
00181576;r;ruwayod;0.03515625;0.0;33.0;0.07842438;0.06972464;0.08968587;0.12140706;0.12006715;0.16916830
00495524;r;>ariyD;0.0;0.0;50.0;0.06784232;0.13355775;0.03089845;0.15295283;0.12534055;0.23682816
00105603;r;mutawaf~iz;0;0;50;0.10389989;0.09224776;0.09616283;0.20306464;0.06105890;0.27786903
00008600;r;waHiyd;0.25;0.25;50;0.12607490;0.13098565;0.08753335;0.12259720;0.11585564;0.13556464
00057388;r;Huson;0.1875;0.0;50.0;0.08595121;0.09167722;0.06603776;0.16306542;0.10503691;0.13677346
00111758;r;>aqal~;0;0;33;0.15196009;0.10664279;0.15828525;0.09515123;0.20914149;0.08800564
00069901;r;muSaw~it;0;0;100;0.14424224;0.08495540;0.07085562;0.09876634;0.09567032;0.19966702
00250056;r;muHA*aY;0;0;50;0.14008083;0.06667903;0.13564963;0.18477661;0.14825366;0.05888676
00069672;r;siy~;0.1875;0.0;39.375;0.09629031;0.15023208;0.12256050;0.14874353;0.06524028;0.14993947
00102463;r;fiyn;0.3125;0.0;50.0;0.02815688;0.14941575;0.02949704;0.38788437;0.04094593;0.09793183
00046299;r;EimolAqiy~;0;0.125;33;0.07159158;0.07833520;0.07990998;0.14537524;0.06952256;0.12485367
00069901;r;jahiyr;0;0;100;0.14424224;0.08495540;0.07085562;0.09876634;0.09567032;0.19966702
00066781;r;qabol;0.0;0.0;81.25;0.10913299;0.12130145;0.13142168;0.13465243;0.11997786;0.10619245
00503102;r;nah~A$;0;0;50;0.07552983;0.06484176;0.06132693;0.06978861;0.23338838;0.11432451
00226550;r;Eabor;0.0;0.0;20.0;0.11369509;0.10567565;0.13973190;0.12540725;0.13808266;0.12646113
00335809;r;daj~Al;0.25;0;33;0.15081939;0.02239370;0.42212338;0.03012951;0.12842968;0.03080256
00167920;r;sudaY;0;0;50;0.00000000;0.00000000;0.00000000;0.29029851;0.00000000;0.33646411
00277585;r;qufol;0.0625;0.0;33.0;0.04440506;0.10912827;0.11836763;0.21350867;0.09060806;0.19114186
00086404;r;madomuwk;0.34375;0.0;50.0;0.11304088;0.12928490;0.09002734;0.13600367;0.09321505;0.18117076
00408021;r;>adonaY;0.0;0.0;50.20703125;0.07042077;0.07857334;0.08573415;0.18123248;0.20238963;0.13059607
00476962;r;samiyk;0.0;0.0;100.0;0.00000000;0.01376882;0.02268091;0.11480445;0.11002279;0.46784781
00041954;r;<ijomAl;0.0;0.1875;50.0;0.09914834;0.12929240;0.12182569;0.13151721;0.15309096;0.12796907
00104099;r;Tay~;0.015625;0.015625;100.0;0.10087962;0.09420682;0.23323779;0.09334168;0.18405402;0.11503912
00285854;r;DiyA}iy~;0.1875;0.0;50.0;0.16713254;0.31029180;0.10802162;0.18001343;0.02479611;0.06861391
00087542;r;>azaliy~;0.125;0.125;100;0.04040187;0.04619124;0.09146974;0.10192700;0.12452185;0.18316828
00107987;r;tadoriyjiy~;0;0;67;0.05568970;0.06125232;0.12688683;0.10502700;0.13645223;0.13563849
00061203;r;tilow;0.0;0.0;100.0;0.13690244;0.12861764;0.10681806;0.11004930;0.13940249;0.11993450
00100082;r;bakiyr;0.125;0.0;50.0;0.12483329;0.11817645;0.13261793;0.14659285;0.13641040;0.10652670
00009373;r;waDiy';0.1875;0.1875;50.0;0.05144902;0.07021421;0.02353179;0.26432776;0.07762168;0.17236613
00113082;r;siwaY;0.25;0.0;75.0;0.10515062;0.15346470;0.14004518;0.10147967;0.08383430;0.15351682
00110815;r;Euqor;0;0;100;0.12521876;0.10195021;0.13504664;0.12669415;0.12307868;0.18088169
00148139;r;xariyE;0.125;0;50;0.07218118;0.02642762;0.00000000;0.63252517;0.05485195;0.00592862
00085811;r;bidAr;0.015625;0.0;50.0;0.10390258;0.11329217;0.12240769;0.13470078;0.12145986;0.17022788
00393240;r;>awoTa>;0;0;100;0.06344475;0.08661221;0.03276191;0.15912935;0.29612931;0.14520537
00104990;r;mubaHobaH;0.25;0.125;50;0.15643271;0.05420560;0.01646023;0.21174426;0.02155438;0.07833970
00505226;r;lAH~;0.1875;0.0;50.0;0.11585791;0.08435102;0.12473346;0.28147880;0.09321877;0.09766025
00166025;r;taliyE;0.0;0.0;50.0;0.10604108;0.12167355;0.10872297;0.11732677;0.11755121;0.14965350
00477814;r;halohal;0.21875;0.0;33.0;0.03893378;0.22868981;0.02373695;0.32284444;0.06505163;0.08543143
00348247;r;faraH;0.25;0;50;0.04857616;0.03707961;0.00000000;0.22550342;0.00000000;0.29214088
00503102;r;EaDob;0;0;50;0.07552983;0.06484176;0.06132693;0.06978861;0.23338838;0.11432451
00204125;r;galaT;0.25;0;100;0.22607782;0.16405471;0.02257888;0.03799295;0.12498066;0.10737146
00128456;r;$afahiy~;0.0;0.0;50.0;0.32257782;0.07338327;0.33288712;0.03629376;0.05859798;0.02689063
